geometry;bus;p_nom
POINT (9.20736443093694 49.1766379540065);DE0 8;14.285702806122451
POINT (13.0025898987886 50.8659127196838);DE0 3;14.285702806122451
POINT (6.766015645209349 49.3600771523749);DE0 7;16.256684460510954
POINT (10.9729038959004 49.55850737567371);DE0 1;14.285702806122451
POINT (11.2869438320852 47.4928624569052);DE0 1;14.285702806122451
POINT (13.5053368398164 52.4747788520482);DE0 5;30.542387266632222
POINT (8.53055554991256 47.9148481845625);DE0 6;142.85714142857142
POINT (8.249750456597411 48.8491773731136);DE0 6;142.85714142857142
POINT (9.459677478722618 53.8646574512707);DE0 4;142.85714142857142
POINT (11.4299065773025 50.91144646109551);DE0 3;142.85714142857142
POINT (7.25501773539194 53.0267136928067);DE0 0;142.85714142857142
POINT (7.37185639416872 52.1977066547834);DE0 0;142.85714142857142
POINT (13.3984708281663 53.79333187548161);DE0 5;142.85714142857142
POINT (7.424745245510429 51.4592583943398);DE0 7;142.85714142857142
POINT (7.123360467688331 51.4473443869048);DE0 7;65.44647402977492
POINT (7.41658261384975 51.4607823586596);DE0 7;142.85714142857142
POINT (6.53303653131644 50.3922427776709);DE0 7;142.85714142857142
POINT (6.60879226770999 51.03467877208571);DE0 7;142.85714142857142
POINT (6.720331674794219 51.3441235773954);DE0 7;18.662902266066272
POINT (7.13937473425833 51.5608313916517);DE0 7;142.85714142857142
POINT (7.41946378046051 51.45751009362289);DE0 7;142.85714142857142
POINT (7.179202620358111 51.4218244823956);DE0 7;142.85714142857142
POINT (6.52272548882226 51.3224954692993);DE0 7;142.85714142857142
POINT (6.929092690806741 50.84415297221329);DE0 7;142.85714142857142
POINT (7.094357909582889 50.82696708933121);DE0 7;142.85714142857142
POINT (6.650667414342281 51.5537022721424);DE0 7;142.85714142857142
POINT (6.9289790539233 50.84381694694);DE0 7;142.85714142857142
POINT (7.83402074322725 51.7550403464858);DE0 0;142.85714142857142
POINT (8.33466775124759 52.07052004267999);DE0 0;142.85714142857142
POINT (7.9818783185962 51.6766515664854);DE0 0;142.85714142857142
POINT (9.8524162497002 51.8987652474175);DE0 4;142.85714142857142
POINT (9.4136812208929 52.0274828920508);DE0 4;141.7625721858007
POINT (10.3552149923206 52.1758109606876);DE0 4;71.57234821003097
POINT (10.7037422782749 47.826415980499);DE0 1;142.85714142857142
POINT (10.6418025411196 48.0258492685192);DE0 1;142.85714142857142
POINT (8.67009921732699 49.3092022842852);DE0 2;142.85714142857142
POINT (9.231870022730089 51.81011909422401);DE0 0;142.85714142857142
POINT (10.2341629653667 48.5289320393823);DE0 8;14.285702806122451
POINT (8.74326052934848 50.1623379810729);DE0 2;142.85714142857142
POINT (9.332230165598029 54.7210227584184);DE0 4;142.85714142857142
POINT (8.08565059715704 53.605834192587);DE0 0;142.85714142857142
POINT (9.101933 54.193285);DE0 4;142.8571414285715
POINT (7.051378999999999 51.625391);DE0 7;90.36630453812217
POINT (7.298603999999999 53.56314200000001);DE0 0;142.85714142857142
POINT (7.835088000000001 52.450547);DE0 0;44.49098940476724
POINT (8.444003 53.24349100000001);DE0 0;142.85714142857142
POINT (9.12565 52.811949);DE0 4;142.85714142857142
POINT (8.904632000000001 54.79232099999999);DE0 4;142.85714142857142
POINT (9.222506 53.901798);DE0 4;110.4514678827912
POINT (8.528034 50.098188);DE0 2;142.85714142857142
POINT (10.946784 54.28445799999999);DE0 4;124.16090066449307
POINT (10.771568 53.90824499999999);DE0 4;24.008591971862888
POINT (10.211286 53.972274);DE0 4;142.85714142857142
POINT (11.645959 51.415929);DE0 3;142.85714142857142
POINT (8.05915 53.56740500000001);DE0 0;116.10768915325107
POINT (6.632797 50.853747);DE0 7;142.85714142857142
POINT (9.167879 47.685342);DE0 8;142.85714142857142
POINT (12.451311 54.097612);DE0 5;142.85714142857142
POINT (13.292521 53.83934);DE0 5;142.85714142857142
POINT (11.723189 52.78907);DE0 3;142.85714142857142
POINT (12.045315 53.241979);DE0 5;142.85714142857142
POINT (9.109722 53.97194399999999);DE0 4;142.85714142857142
POINT (9.078333 54.510833);DE0 4;142.85714142857142
POINT (7.550436 50.367054);DE0 7;142.85714142857142
POINT (9.20233 48.5312);DE0 8;142.85714142857142
POINT (10.0620505 48.3189795);DE0 8;142.85714142857142
POINT (9.7896597 47.6729955);DE0 8;142.85714142857142
POINT (11.84747 53.41640699999999);DE0 5;142.85714142857142
POINT (8.7865593 48.9633781);DE0 8;142.85714142857142
POINT (8.255525 47.63777);DE0 6;74.77959612244895
POINT (8.86152575255362 47.8064353220893);DE0 6;142.85714142857142
